
Creating model.....
Creating training dataset...
Creating valid dataset...




Epoch [  1/ 20] | Iter [ 94/ 94] | Train Loss 0.0358
Epoch [  1/ 20] | Iter [ 29/ 94] | Valid Loss 0.0116
Epoch [  1/ 20] | Iter [ 30/ 94] | Valid Loss 0.0115
Epoch [  1/ 20] | Iter [ 31/ 94] | Valid Loss 0.0117
Epoch [  1/ 20] | Iter [ 32/ 94] | Valid Loss 0.0117
Epoch [  1/ 20] | Iter [ 33/ 94] | Valid Loss 0.0117
Epoch [  1/ 20] | Iter [ 34/ 94] | Valid Loss 0.0117
Epoch [  1/ 20] | Iter [ 35/ 94] | Valid Loss 0.0118
Epoch [  1/ 20] | Iter [ 36/ 94] | Valid Loss 0.0118
Epoch [  1/ 20] | Iter [ 37/ 94] | Valid Loss 0.0119
Epoch [  1/ 20] | Iter [ 38/ 94] | Valid Loss 0.0119
Epoch [  1/ 20] | Iter [ 39/ 94] | Valid Loss 0.0119
Epoch [  1/ 20] | Iter [ 40/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 41/ 94] | Valid Loss 0.0119
Epoch [  1/ 20] | Iter [ 42/ 94] | Valid Loss 0.0119
Epoch [  1/ 20] | Iter [ 43/ 94] | Valid Loss 0.0119
Epoch [  1/ 20] | Iter [ 44/ 94] | Valid Loss 0.0119
Epoch [  1/ 20] | Iter [ 45/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 46/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 47/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 48/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 49/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 50/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 51/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 52/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 53/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 54/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 55/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 56/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 57/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 58/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 59/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 60/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 61/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 62/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 63/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 64/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 65/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 66/ 94] | Valid Loss 0.0120
Epoch [  1/ 20] | Iter [ 67/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 68/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 69/ 94] | Valid Loss 0.0122
Epoch [  1/ 20] | Iter [ 70/ 94] | Valid Loss 0.0122
Epoch [  1/ 20] | Iter [ 71/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 72/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 73/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 74/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 75/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 76/ 94] | Valid Loss 0.0122
Epoch [  1/ 20] | Iter [ 77/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 78/ 94] | Valid Loss 0.0122
Epoch [  1/ 20] | Iter [ 79/ 94] | Valid Loss 0.0122
Epoch [  1/ 20] | Iter [ 80/ 94] | Valid Loss 0.0122
Epoch [  1/ 20] | Iter [ 81/ 94] | Valid Loss 0.0122
Epoch [  1/ 20] | Iter [ 82/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 83/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 84/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 85/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 86/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 87/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 88/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 89/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 90/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 91/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 92/ 94] | Valid Loss 0.0121
Epoch [  1/ 20] | Iter [ 93/ 94] | Valid Loss 0.0121
Traceback (most recent call last):
  File "main.py", line 140, in <module>
    train(args)
  File "main.py", line 100, in train
    wandb.log({"Table": show_image_wandb(img, hm_gt, pred_logit)})
NameError: name 'show_image_wandb' is not defined
